date,region,country,product,channel,revenue,cost,cost_driver
2024-01-01,Europe,Germany,Analytics Suite,Direct,19353.21,11945.69,Labor
2024-01-01,Europe,Germany,Cloud Platform,Direct,18857.95,11188.73,Material
2024-01-01,Europe,Germany,Security Module,Partner,20677.82,12827.63,Shipping
2024-01-01,Europe,France,Analytics Suite,Direct,15815.13,10218.92,Material
2024-01-01,Europe,France,Cloud Platform,Partner,21923.12,13761.0,Material
2024-01-01,Europe,France,Security Module,Partner,19655.65,12796.64,Material
2024-01-01,Europe,United Kingdom,Analytics Suite,Online,16221.44,8858.84,Material
2024-01-01,Europe,United Kingdom,Cloud Platform,Partner,20321.66,12511.88,Material
2024-01-01,Europe,United Kingdom,Security Module,Direct,16636.57,9998.99,Material
2024-01-01,Europe,Spain,Analytics Suite,Online,20400.96,11584.54,Shipping
2024-01-01,Europe,Spain,Cloud Platform,Direct,17604.92,10006.7,Shipping
2024-01-01,Europe,Spain,Security Module,Direct,21211.18,13161.68,Shipping
2024-01-01,North America,United States,Analytics Suite,Online,20491.43,11033.55,Material
2024-01-01,North America,United States,Cloud Platform,Direct,14928.08,7818.96,Material
2024-01-01,North America,United States,Security Module,Partner,20433.36,12721.73,Labor
2024-01-01,North America,Canada,Analytics Suite,Partner,16646.61,8839.61,Material
2024-01-01,North America,Canada,Cloud Platform,Partner,17185.67,9985.26,Material
2024-01-01,North America,Canada,Security Module,Partner,17314.76,9869.35,Material
2024-01-01,North America,Mexico,Analytics Suite,Online,15707.71,9876.89,Shipping
2024-01-01,North America,Mexico,Cloud Platform,Online,20565.04,11250.19,Labor
2024-01-01,North America,Mexico,Security Module,Partner,20852.86,11538.87,Labor
2024-01-01,Asia-Pacific,India,Analytics Suite,Direct,18701.96,11511.25,Shipping
2024-01-01,Asia-Pacific,India,Cloud Platform,Direct,17829.8,9198.21,Material
2024-01-01,Asia-Pacific,India,Security Module,Partner,19499.24,10448.37,Labor
2024-01-01,Asia-Pacific,Japan,Analytics Suite,Direct,17408.53,9600.98,Material
2024-01-01,Asia-Pacific,Japan,Cloud Platform,Online,19377.84,10598.03,Labor
2024-01-01,Asia-Pacific,Japan,Security Module,Partner,15729.29,8859.71,Material
2024-01-01,Asia-Pacific,Australia,Analytics Suite,Partner,18105.79,11312.74,Shipping
2024-01-01,Asia-Pacific,Australia,Cloud Platform,Online,13810.89,8337.13,Shipping
2024-01-01,Asia-Pacific,Australia,Security Module,Online,21251.67,12488.73,Shipping
2024-01-01,Asia-Pacific,Singapore,Analytics Suite,Direct,24459.72,15421.91,Material
2024-01-01,Asia-Pacific,Singapore,Cloud Platform,Online,18061.41,10324.55,Material
2024-01-01,Asia-Pacific,Singapore,Security Module,Online,15068.3,10211.11,Labor
2024-01-02,Europe,Germany,Analytics Suite,Online,19300.31,11534.12,Material
2024-01-02,Europe,Germany,Cloud Platform,Online,19700.52,12345.04,Material
2024-01-02,Europe,Germany,Security Module,Direct,23326.26,12643.94,Labor
2024-01-02,Europe,France,Analytics Suite,Partner,22435.07,13819.69,Material
2024-01-02,Europe,France,Cloud Platform,Partner,19445.21,10724.7,Material
2024-01-02,Europe,France,Security Module,Online,18363.59,10949.84,Shipping
2024-01-02,Europe,United Kingdom,Analytics Suite,Online,14786.1,8223.8,Material
2024-01-02,Europe,United Kingdom,Cloud Platform,Partner,17582.52,11006.09,Labor
2024-01-02,Europe,United Kingdom,Security Module,Direct,17873.2,10364.88,Material
2024-01-02,Europe,Spain,Analytics Suite,Online,19139.04,12791.9,Material
